Word: serai, Count: 697, Score: ⬛⬛⬛🟨⬛
Word: soral, Count: 980, Score: ⬛⬛⬛⬛⬛
Word: gares, Count: 982, Score: ⬛⬛⬛⬛⬛
Word: gears, Count: 982, Score: ⬛⬛⬛⬛⬛
Word: napes, Count: 982, Score: ⬛⬛⬛⬛⬛
Word: panes, Count: 982, Score: ⬛⬛⬛⬛⬛
Word: rages, Count: 982, Score: ⬛⬛⬛⬛⬛
Word: sager, Count: 982, Score: ⬛⬛⬛⬛⬛
Word: sarge, Count: 982, Score: ⬛⬛⬛⬛⬛
Word: segar, Count: 982, Score: ⬛⬛⬛⬛⬛
Word: aunes, Count: 983, Score: 🟨⬛⬛⬛⬛
Word: eorls, Count: 986, Score: ⬛⬛⬛⬛⬛
Word: gates, Count: 986, Score: ⬛⬛⬛⬛⬛
Word: lores, Count: 986, Score: ⬛⬛⬛⬛⬛
Word: maise, Count: 986, Score: ⬛⬛⬛🟨⬛
Word: orles, Count: 986, Score: ⬛⬛⬛⬛⬛
Word: roles, Count: 986, Score: ⬛⬛⬛⬛⬛
Word: soler, Count: 986, Score: ⬛⬛⬛⬛⬛
Word: sorel, Count: 986, Score: ⬛⬛⬛⬛⬛
Word: spane, Count: 986, Score: ⬛⬛⬛⬛🟨
Word: dares, Count: 988, Score: ⬛⬛⬛⬛⬛
Word: dears, Count: 988, Score: ⬛⬛⬛⬛⬛
Word: eards, Count: 988, Score: ⬛⬛⬛⬛⬛
Word: reads, Count: 988, Score: ⬛⬛⬛⬛⬛
Word: sared, Count: 988, Score: ⬛⬛⬛⬛⬛
Word: saute, Count: 988, Score: ⬛⬛⬛⬛🟨
Word: yales, Count: 988, Score: ⬛⬛⬛⬛🟩
Word: salue, Count: 991, Score: ⬛⬛⬛⬛🟨
Word: mates, Count: 992, Score: ⬛⬛⬛⬛⬛
Word: satem, Count: 992, Score: ⬛⬛⬛⬛⬛
Word: tames, Count: 992, Score: ⬛⬛⬛⬛⬛
Word: amies, Count: 993, Score: 🟨⬛⬛⬛⬛
Word: ayres, Count: 993, Score: ⬛⬛⬛⬛🟩
Word: years, Count: 993, Score: ⬛⬛⬛⬛🟩
Word: deans, Count: 995, Score: ⬛⬛⬛⬛⬛
Word: tesla, Count: 995, Score: ⬛⬛🟨⬛⬛
Word: shale, Count: 998, Score: ⬛⬛⬛⬛🟨
Word: least, Count: 999, Score: ⬛⬛⬛🟨⬛
Word: pates, Count: 1002, Score: ⬛⬛⬛⬛⬛
Word: tapes, Count: 1002, Score: ⬛⬛⬛⬛⬛
Word: banes, Count: 1003, Score: ⬛⬛⬛⬛⬛
Word: nabes, Count: 1003, Score: ⬛⬛⬛⬛⬛
Word: oners, Count: 1003, Score: ⬛⬛⬛⬛⬛
Word: renos, Count: 1003, Score: ⬛⬛⬛⬛⬛
Word: rones, Count: 1003, Score: ⬛⬛⬛⬛⬛
Word: senor, Count: 1003, Score: ⬛⬛⬛⬛⬛
Word: seron, Count: 1003, Score: ⬛⬛⬛⬛⬛
Word: snore, Count: 1003, Score: ⬛⬛⬛⬛⬛
Word: stade, Count: 1003, Score: ⬛⬛🟨⬛⬛
Word: teads, Count: 1003, Score: ⬛⬛🟨⬛⬛
Word: dales, Count: 1007, Score: ⬛⬛⬛⬛⬛
Word: deals, Count: 1007, Score: ⬛⬛⬛⬛⬛
Word: lades, Count: 1007, Score: ⬛⬛⬛⬛⬛
Word: leads, Count: 1007, Score: ⬛⬛⬛⬛⬛
Word: saned, Count: 1007, Score: 🟨⬛⬛⬛⬛
Word: sedan, Count: 1007, Score: 🟨⬛⬛⬛⬛
Word: slade, Count: 1007, Score: ⬛⬛⬛⬛⬛
Word: bares, Count: 1008, Score: ⬛⬛⬛⬛⬛
Word: bears, Count: 1008, Score: ⬛⬛⬛⬛⬛
Word: braes, Count: 1008, Score: ⬛⬛⬛⬛⬛
Word: saber, Count: 1008, Score: ⬛⬛⬛⬛⬛
Word: sabre, Count: 1008, Score: ⬛⬛⬛⬛⬛
Word: oater, Count: 1009, Score: 🟨⬛⬛⬛⬛
Word: bates, Count: 1011, Score: ⬛⬛⬛⬛⬛
Word: tabes, Count: 1011, Score: ⬛⬛⬛⬛⬛
Word: resat, Count: 1013, Score: ⬛⬛🟨⬛⬛
Word: taser, Count: 1013, Score: ⬛⬛🟨⬛⬛
Word: ureas, Count: 1013, Score: ⬛⬛🟨⬛⬛
Word: yates, Count: 1014, Score: ⬛⬛⬛⬛🟩
Word: stead, Count: 1017, Score: ⬛⬛🟨⬛⬛
Word: aegis, Count: 1019, Score: 🟨⬛⬛⬛⬛
Word: hates, Count: 1020, Score: ⬛⬛⬛⬛⬛
Word: lenos, Count: 1020, Score: ⬛⬛⬛⬛⬛
Word: noles, Count: 1020, Score: ⬛⬛⬛⬛⬛
Word: leaps, Count: 1022, Score: ⬛⬛⬛⬛⬛
Word: pales, Count: 1022, Score: ⬛⬛⬛⬛⬛
Word: peals, Count: 1022, Score: ⬛⬛⬛⬛⬛
Word: pelas, Count: 1022, Score: ⬛⬛⬛⬛⬛
Word: salep, Count: 1022, Score: ⬛⬛⬛⬛⬛
Word: sepal, Count: 1022, Score: ⬛⬛⬛⬛⬛
Word: snead, Count: 1022, Score: ⬛⬛🟨⬛⬛
Word: spale, Count: 1022, Score: ⬛⬛⬛⬛⬛
Word: almes, Count: 1023, Score: ⬛⬛⬛⬛⬛
Word: lames, Count: 1023, Score: ⬛⬛⬛⬛⬛
Word: leams, Count: 1023, Score: ⬛⬛⬛⬛⬛
Word: males, Count: 1023, Score: ⬛⬛⬛⬛⬛
Word: meals, Count: 1023, Score: ⬛⬛⬛⬛⬛
Word: melas, Count: 1023, Score: ⬛⬛⬛⬛⬛
Word: samel, Count: 1023, Score: ⬛⬛⬛⬛⬛
Word: sayne, Count: 1024, Score: 🟨⬛⬛⬛⬛
Word: abies, Count: 1026, Score: 🟨⬛⬛⬛⬛
Word: roues, Count: 1028, Score: ⬛⬛⬛⬛⬛
Word: cades, Count: 1029, Score: ⬛⬛⬛⬛⬛
Word: daces, Count: 1029, Score: ⬛⬛⬛⬛⬛
Word: isnae, Count: 1029, Score: ⬛🟨⬛⬛⬛
Word: leirs, Count: 1029, Score: ⬛⬛⬛⬛⬛
Word: liers, Count: 1029, Score: ⬛⬛⬛⬛⬛
Word: oaten, Count: 1029, Score: 🟨⬛⬛⬛⬛
Word: riels, Count: 1029, Score: ⬛⬛⬛⬛⬛
Word: riles, Count: 1029, Score: ⬛⬛⬛⬛⬛
Word: siler, Count: 1029, Score: ⬛⬛⬛⬛⬛
Word: slier, Count: 1029, Score: ⬛⬛⬛⬛⬛
Word: soave, Count: 1029, Score: ⬛⬛🟨⬛⬛
Word: cages, Count: 1031, Score: ⬛⬛⬛⬛⬛
Word: stage, Count: 1031, Score: ⬛⬛🟨⬛⬛
Word: aides, Count: 1032, Score: 🟨⬛⬛⬛⬛
Word: earst, Count: 1032, Score: ⬛⬛⬛🟨⬛
Word: reast, Count: 1032, Score: ⬛⬛⬛🟨⬛
Word: gales, Count: 1033, Score: ⬛⬛⬛⬛⬛
Word: seiza, Count: 1034, Score: ⬛⬛⬛⬛🟨
Word: smear, Count: 1035, Score: ⬛⬛🟨⬛⬛
Word: aspie, Count: 1036, Score: ⬛🟨⬛⬛⬛
Word: roans, Count: 1038, Score: ⬛⬛⬛⬛⬛
Word: sonar, Count: 1038, Score: ⬛⬛⬛⬛⬛
Word: capes, Count: 1041, Score: ⬛⬛⬛⬛⬛
Word: paces, Count: 1041, Score: ⬛⬛⬛⬛⬛
Word: heals, Count: 1042, Score: ⬛🟨⬛⬛⬛
Word: selah, Count: 1042, Score: ⬛🟨⬛⬛⬛
Word: geals, Count: 1044, Score: ⬛🟨⬛⬛⬛
Word: acers, Count: 1045, Score: ⬛⬛🟨⬛⬛
Word: ables, Count: 1046, Score: ⬛⬛⬛⬛⬛
Word: bales, Count: 1046, Score: ⬛⬛⬛⬛⬛
Word: blaes, Count: 1046, Score: ⬛⬛⬛⬛⬛
Word: sable, Count: 1046, Score: ⬛⬛⬛⬛⬛
Word: spate, Count: 1047, Score: ⬛⬛🟨⬛⬛
Word: beals, Count: 1049, Score: ⬛🟨⬛⬛⬛
Word: abers, Count: 1051, Score: ⬛⬛🟨⬛⬛
Word: toise, Count: 1051, Score: ⬛⬛⬛🟨⬛
Word: uraos, Count: 1051, Score: ⬛⬛🟨⬛⬛
Word: agers, Count: 1052, Score: ⬛⬛🟨⬛⬛
Word: eyras, Count: 1054, Score: 🟨⬛⬛⬛⬛
Word: rakes, Count: 1063, Score: ⬛⬛⬛⬛⬛
Word: reaks, Count: 1063, Score: ⬛⬛⬛⬛⬛
Word: saker, Count: 1063, Score: ⬛⬛⬛⬛⬛
Word: ratos, Count: 1064, Score: ⬛⬛⬛⬛⬛
Word: realo, Count: 1064, Score: ⬛⬛🟨⬛⬛
Word: rotas, Count: 1064, Score: ⬛⬛⬛⬛⬛
Word: sorta, Count: 1064, Score: ⬛⬛⬛⬛⬛
Word: taros, Count: 1064, Score: ⬛⬛⬛⬛⬛
Word: toras, Count: 1064, Score: ⬛⬛⬛⬛⬛
Word: takes, Count: 1065, Score: ⬛⬛⬛⬛⬛
Word: neaps, Count: 1066, Score: ⬛🟨⬛⬛⬛
Word: peans, Count: 1066, Score: ⬛🟨⬛⬛⬛
Word: cames, Count: 1069, Score: ⬛⬛⬛⬛⬛
Word: fanes, Count: 1069, Score: ⬛⬛⬛⬛⬛
Word: maces, Count: 1069, Score: ⬛⬛⬛⬛⬛
Word: arils, Count: 1071, Score: ⬛⬛⬛⬛⬛
Word: lairs, Count: 1071, Score: ⬛⬛⬛⬛⬛
Word: laris, Count: 1071, Score: ⬛⬛⬛⬛⬛
Word: liars, Count: 1071, Score: ⬛⬛⬛⬛⬛
Word: liras, Count: 1071, Score: ⬛⬛⬛⬛⬛
Word: osier, Count: 1071, Score: ⬛🟨⬛⬛⬛
Word: rails, Count: 1071, Score: ⬛⬛⬛⬛⬛
Word: rials, Count: 1071, Score: ⬛⬛⬛⬛⬛
Word: usnea, Count: 1072, Score: ⬛🟨⬛⬛⬛
Word: peats, Count: 1073, Score: ⬛🟨⬛⬛⬛
Word: septa, Count: 1073, Score: ⬛🟨⬛⬛⬛
Word: tepas, Count: 1073, Score: ⬛🟨⬛⬛⬛
Word: meats, Count: 1074, Score: ⬛🟨⬛⬛⬛
Word: pareo, Count: 1074, Score: ⬛⬛⬛⬛⬛
Word: teams, Count: 1074, Score: ⬛🟨⬛⬛⬛
Word: fares, Count: 1075, Score: ⬛⬛⬛⬛⬛
Word: fears, Count: 1075, Score: ⬛⬛⬛⬛⬛
Word: safer, Count: 1075, Score: ⬛⬛⬛⬛⬛
Word: apers, Count: 1077, Score: ⬛⬛🟨⬛⬛
Word: geats, Count: 1077, Score: ⬛🟨⬛⬛⬛
Word: getas, Count: 1077, Score: ⬛🟨⬛⬛⬛
Word: spear, Count: 1077, Score: ⬛⬛🟨⬛⬛
Word: rheas, Count: 1078, Score: ⬛⬛🟨⬛⬛
Word: shear, Count: 1078, Score: ⬛⬛🟨⬛⬛
Word: means, Count: 1082, Score: ⬛🟨⬛⬛⬛
Word: nemas, Count: 1082, Score: ⬛🟨⬛⬛⬛
Word: hades, Count: 1083, Score: ⬛⬛⬛⬛⬛
Word: sadhe, Count: 1083, Score: ⬛⬛⬛⬛⬛
Word: reins, Count: 1084, Score: ⬛⬛⬛⬛🟩
Word: rines, Count: 1084, Score: ⬛⬛⬛⬛🟩
Word: roads, Count: 1084, Score: ⬛⬛⬛⬛⬛
Word: sarod, Count: 1084, Score: ⬛⬛⬛⬛⬛
Word: sorda, Count: 1084, Score: ⬛⬛⬛⬛⬛
Word: auris, Count: 1085, Score: 🟨⬛⬛⬛⬛
Word: uraei, Count: 1085, Score: ⬛⬛🟨⬛⬛
Word: samey, Count: 1086, Score: 🟨⬛⬛⬛⬛
Word: skate, Count: 1086, Score: ⬛⬛🟨⬛⬛
Word: stake, Count: 1086, Score: ⬛⬛🟨⬛⬛
Word: yeans, Count: 1088, Score: ⬛🟨⬛⬛⬛
Word: kanes, Count: 1089, Score: ⬛⬛⬛⬛⬛
Word: snake, Count: 1089, Score: ⬛⬛⬛⬛⬛
Word: aside, Count: 1090, Score: ⬛🟨⬛⬛⬛
Word: beans, Count: 1091, Score: ⬛🟨⬛⬛⬛
Word: acmes, Count: 1092, Score: 🟨⬛⬛⬛⬛
Word: beats, Count: 1092, Score: ⬛🟨⬛⬛⬛
Word: betas, Count: 1092, Score: ⬛🟨⬛⬛⬛
Word: lotes, Count: 1093, Score: ⬛⬛⬛⬛⬛
Word: stole, Count: 1093, Score: ⬛⬛⬛⬛⬛
Word: telos, Count: 1093, Score: ⬛⬛⬛⬛⬛
Word: toles, Count: 1093, Score: ⬛⬛⬛⬛⬛
Word: sayed, Count: 1096, Score: 🟨⬛⬛⬛⬛
Word: geans, Count: 1099, Score: ⬛🟨⬛⬛⬛
Word: genas, Count: 1099, Score: ⬛🟨⬛⬛⬛
Word: fates, Count: 1100, Score: ⬛⬛⬛⬛⬛
Word: aster, Count: 1102, Score: ⬛🟨⬛⬛⬛
Word: paste, Count: 1102, Score: ⬛⬛🟨⬛⬛
Word: rotes, Count: 1102, Score: ⬛⬛⬛⬛⬛
Word: store, Count: 1102, Score: ⬛⬛⬛⬛⬛
Word: tores, Count: 1102, Score: ⬛⬛⬛⬛⬛
Word: noise, Count: 1105, Score: ⬛⬛⬛🟨⬛
Word: owies, Count: 1111, Score: ⬛⬛⬛⬛⬛
Word: kales, Count: 1116, Score: ⬛⬛⬛⬛⬛
Word: lakes, Count: 1116, Score: ⬛⬛⬛⬛⬛
Word: leaks, Count: 1116, Score: ⬛⬛⬛⬛⬛
Word: slake, Count: 1116, Score: ⬛⬛⬛⬛⬛
Word: sawer, Count: 1117, Score: ⬛⬛⬛⬛⬛
Word: sewar, Count: 1117, Score: ⬛⬛⬛⬛⬛
Word: sware, Count: 1117, Score: ⬛⬛⬛⬛⬛
Word: swear, Count: 1117, Score: ⬛⬛⬛⬛⬛
Word: wares, Count: 1117, Score: ⬛⬛⬛⬛⬛
Word: wears, Count: 1117, Score: ⬛⬛⬛⬛⬛
Word: saheb, Count: 1118, Score: ⬛⬛⬛⬛⬛
Word: serin, Count: 1118, Score: 🟨⬛⬛⬛⬛
Word: siren, Count: 1118, Score: 🟨⬛⬛⬛⬛
Word: skear, Count: 1118, Score: ⬛⬛🟨⬛⬛
Word: yeads, Count: 1118, Score: ⬛⬛⬛⬛🟩
Word: sepad, Count: 1120, Score: ⬛⬛⬛⬛⬛
Word: hames, Count: 1122, Score: ⬛⬛⬛⬛⬛
Word: loser, Count: 1122, Score: ⬛⬛🟨⬛⬛
Word: steal, Count: 1123, Score: ⬛⬛🟨⬛⬛
Word: stela, Count: 1123, Score: ⬛⬛🟨⬛⬛
Word: taels, Count: 1123, Score: ⬛⬛🟨⬛⬛
Word: oyers, Count: 1125, Score: ⬛⬛⬛⬛🟩
Word: yores, Count: 1125, Score: ⬛⬛⬛⬛🟩
Word: sauce, Count: 1127, Score: ⬛⬛⬛⬛🟨
Word: kesar, Count: 1128, Score: ⬛⬛🟨⬛⬛
Word: rouse, Count: 1128, Score: ⬛⬛⬛🟨⬛
Word: notes, Count: 1129, Score: ⬛⬛⬛⬛⬛
Word: seton, Count: 1129, Score: ⬛⬛⬛⬛⬛
Word: stone, Count: 1129, Score: ⬛⬛⬛⬛⬛
Word: tones, Count: 1129, Score: ⬛⬛⬛⬛⬛
Word: wanes, Count: 1131, Score: ⬛⬛⬛⬛⬛
Word: feals, Count: 1132, Score: ⬛⬛⬛⬛⬛
Word: ketas, Count: 1132, Score: ⬛🟨⬛⬛⬛
Word: leafs, Count: 1132, Score: ⬛⬛⬛⬛⬛
Word: teaks, Count: 1132, Score: ⬛🟨⬛⬛⬛
Word: oared, Count: 1133, Score: ⬛⬛⬛⬛⬛
Word: yages, Count: 1133, Score: ⬛⬛⬛⬛🟩
Word: cause, Count: 1134, Score: ⬛⬛⬛🟨🟨
Word: pause, Count: 1134, Score: ⬛⬛⬛⬛🟨
Word: raile, Count: 1134, Score: ⬛⬛⬛⬛⬛
Word: heats, Count: 1135, Score: ⬛🟨⬛⬛⬛
Word: orate, Count: 1135, Score: ⬛⬛🟨⬛⬛
Word: roate, Count: 1135, Score: ⬛⬛🟨⬛⬛
Word: bayes, Count: 1137, Score: ⬛⬛⬛⬛🟩
Word: beaus, Count: 1137, Score: ⬛🟨⬛⬛⬛
Word: cafes, Count: 1137, Score: ⬛⬛⬛⬛⬛
Word: faces, Count: 1137, Score: ⬛⬛⬛⬛⬛
Word: lapse, Count: 1138, Score: ⬛⬛⬛🟨⬛
Word: poise, Count: 1139, Score: ⬛⬛⬛🟨⬛
Word: daris, Count: 1140, Score: ⬛⬛⬛⬛⬛
Word: lenis, Count: 1140, Score: ⬛⬛⬛⬛⬛
Word: lines, Count: 1140, Score: ⬛⬛⬛⬛⬛
Word: nelis, Count: 1140, Score: ⬛⬛⬛⬛⬛
Word: raids, Count: 1140, Score: ⬛⬛⬛⬛⬛
Word: riads, Count: 1140, Score: ⬛⬛⬛⬛⬛
Word: scape, Count: 1140, Score: ⬛⬛🟨⬛⬛
Word: space, Count: 1140, Score: ⬛⬛🟨⬛⬛
Word: caste, Count: 1141, Score: ⬛⬛🟨⬛⬛
Word: cesta, Count: 1141, Score: ⬛⬛🟨⬛⬛
Word: spade, Count: 1141, Score: ⬛⬛🟨⬛⬛
Word: spaed, Count: 1141, Score: ⬛⬛🟨⬛⬛
Word: abyes, Count: 1142, Score: 🟨⬛⬛⬛⬛
Word: degas, Count: 1142, Score: ⬛⬛⬛⬛⬛
Word: gades, Count: 1142, Score: ⬛⬛⬛⬛⬛
Word: iotas, Count: 1142, Score: ⬛⬛⬛🟨⬛
Word: sieur, Count: 1142, Score: ⬛⬛🟨⬛⬛
Word: stoai, Count: 1142, Score: ⬛⬛⬛🟨⬛
Word: dames, Count: 1143, Score: ⬛⬛⬛⬛⬛
Word: meads, Count: 1143, Score: ⬛⬛⬛⬛⬛
Word: twaes, Count: 1143, Score: ⬛⬛⬛⬛⬛
Word: roast, Count: 1144, Score: ⬛⬛⬛🟨⬛
Word: amuse, Count: 1145, Score: 🟨⬛⬛⬛⬛
Word: sewan, Count: 1145, Score: ⬛🟨⬛⬛⬛
Word: tased, Count: 1145, Score: ⬛⬛🟨⬛⬛
Word: weans, Count: 1145, Score: ⬛🟨⬛⬛⬛
Word: maser, Count: 1146, Score: ⬛⬛🟨⬛⬛
Word: parse, Count: 1146, Score: ⬛⬛⬛🟨⬛
Word: prase, Count: 1146, Score: ⬛⬛⬛🟨⬛
Word: presa, Count: 1146, Score: ⬛⬛⬛🟨⬛
Word: razes, Count: 1146, Score: ⬛⬛⬛⬛⬛
Word: hause, Count: 1147, Score: ⬛⬛⬛⬛🟨
Word: wetas, Count: 1147, Score: ⬛🟨⬛⬛⬛
Word: gapes, Count: 1149, Score: ⬛⬛⬛⬛⬛
Word: pages, Count: 1149, Score: ⬛⬛⬛⬛⬛
Word: feats, Count: 1151, Score: ⬛🟨⬛⬛⬛
Word: fetas, Count: 1151, Score: ⬛🟨⬛⬛⬛
Word: heads, Count: 1151, Score: ⬛⬛🟨⬛⬛
Word: shade, Count: 1151, Score: ⬛⬛🟨⬛⬛
Word: ajies, Count: 1152, Score: 🟨⬛⬛⬛⬛
Word: games, Count: 1152, Score: ⬛⬛⬛⬛⬛
Word: larns, Count: 1152, Score: ⬛⬛⬛⬛⬛
Word: mages, Count: 1152, Score: ⬛⬛⬛⬛⬛
Word: snarl, Count: 1152, Score: ⬛⬛⬛⬛⬛
Word: avise, Count: 1154, Score: 🟨⬛⬛⬛⬛
Word: shame, Count: 1155, Score: ⬛⬛⬛⬛🟨
Word: cosie, Count: 1156, Score: ⬛⬛🟨⬛⬛
Word: ariel, Count: 1157, Score: 🟨⬛⬛⬛⬛
Word: touse, Count: 1157, Score: ⬛⬛⬛⬛🟨
Word: hoise, Count: 1158, Score: ⬛⬛⬛🟨⬛
Word: nazes, Count: 1158, Score: ⬛⬛⬛⬛⬛
Word: haste, Count: 1159, Score: ⬛⬛🟨⬛⬛
Word: marse, Count: 1159, Score: ⬛⬛⬛🟨⬛
Word: elans, Count: 1161, Score: 🟨⬛⬛⬛⬛
Word: rites, Count: 1161, Score: ⬛⬛⬛⬛⬛
Word: stire, Count: 1161, Score: ⬛⬛⬛⬛⬛
Word: tiers, Count: 1161, Score: ⬛⬛⬛⬛⬛
Word: tires, Count: 1161, Score: ⬛⬛⬛⬛⬛
Word: tries, Count: 1161, Score: ⬛⬛⬛⬛⬛
Word: arson, Count: 1162, Score: ⬛⬛🟨⬛⬛
Word: avers, Count: 1162, Score: ⬛⬛⬛⬛⬛
Word: oaker, Count: 1162, Score: 🟨⬛⬛⬛⬛
Word: raves, Count: 1162, Score: ⬛⬛⬛⬛⬛
Word: saver, Count: 1162, Score: ⬛⬛⬛⬛⬛
Word: swale, Count: 1162, Score: ⬛⬛⬛⬛⬛
Word: vares, Count: 1162, Score: ⬛⬛⬛⬛⬛
Word: wales, Count: 1162, Score: ⬛⬛⬛⬛⬛
Word: weals, Count: 1162, Score: ⬛⬛⬛⬛⬛
Word: beads, Count: 1163, Score: ⬛⬛⬛⬛⬛
